Station,Lat,Lon,Method,Status
285,56.2667,0.6333,GOV,pending
287,56.2726,1.8658,GOV,pending
289,56.2963,1.5242,JST,pending
291,56.144,2.3386,GOV,pending
293,56.2966,2.7805,GOV,pending
295,56.1167,3.6,GOV,pending
297,56.2948,3.6442,GOV,pending
299,56.1993,4.2786,GOV,pending
301,56.2122,4.6035,GOV,pending
303,56.0809,5.7083,GOV,pending
305,56.2225,5.2211,GOV,pending
307,56.2849,6.3359,GOV,pending
309,56.1545,6.113,GOV,pending
311,56.298,7.1159,GOV,pending
313,56.1328,7.3272,JST,pending
315,56.224,10.9607,GOV,pending
316,56.347,11.9612,GOV,pending
318,56.4808,11.0953,GOV,pending
320,56.3932,12.2595,GOV,pending
322,56.339,12.6133,GOV,pending
324,56.5696,-1.3478,JST,pending
326,56.7235,-1.504,GOV,pending
328,56.633,-0.852,GOV,pending
330,56.8874,-0.2694,GOV,pending
332,56.635,0.08,GOV,pending
334,56.681,0.7727,JST,pending
336,56.9135,1.8328,GOV,pending
338,56.6773,1.4663,GOV,pending
340,56.5135,2.9153,GOV,pending
342,56.8182,2.1725,GOV,pending
344,56.7197,3.6493,GOV,pending
346,56.6917,3.1882,JST,pending
348,56.6975,4.0902,GOV,pending
350,56.7667,4.4683,GOV,pending
352,56.669,5.6957,GOV,pending
354,56.8688,5.028,JST,pending
356,56.5547,6.8537,JST,pending
358,56.9604,6.5119,GOV,pending
360,56.7135,7.5707,GOV,pending
362,56.9677,7.233,GOV,pending
364,56.5938,11.8195,GOV,pending
368,56.6,11.8333,JST,pending
372,56.9273,11.6915,GOV,pending
376,56.7833,11.8667,JST,pending
380,56.5655,12.6173,GOV,pending
386,56.8172,12.2116,JST,pending
389,57.2103,-1.4201,GOV,pending
391,57.4167,-1.1833,GOV,pending
393,57.3123,-0.6212,GOV,pending
395,57.1753,-0.134,JST,pending
397,57.1,0.4667,GOV,pending
399,57.2917,0.869,GOV,pending
401,57.2807,1.8418,GOV,pending
403,57.0338,1.1853,GOV,pending
405,57.2825,2.3808,GOV,pending
407,57.0667,2.7083,GOV,pending
